Date,Current,High,Low,Volume,Trade,Total
2015-01-02,1926.44,1929.15,1909.67,258776,3696029,1198010248
2015-01-05,1915.75,1921.96,1903.37,313443,4700136,1191526455
2015-01-06,1882.45,1900.02,1877.38,303688,4755440,1171167157
2015-01-07,1883.83,1887.6,1876.27,280510,3762677,1171990821
2015-01-08,1904.65,1907.23,1891.77,262207,4395567,1185170312
2015-01-09,1924.7,1929.1,1915.85,308781,4406669,1197321954
2015-01-12,1920.95,1924.66,1917.88,311915,3581796,1195196342
2015-01-13,1917.14,1920.77,1910.27,338989,4873084,1193106587
2015-01-14,1913.66,1925.68,1913.51,297517,4526793,1190978917
2015-01-15,1914.14,1919.69,1908.6,266544,3892782,1191087315
2015-01-16,1888.13,1907.07,1885.62,298733,4008277,1174782572
2015-01-19,1902.62,1912.42,1900.26,281120,3583091,1183896613
2015-01-20,1918.31,1918.85,1907.97,280895,3636919,1193690149
2015-01-21,1921.23,1921.88,1909.86,300843,4401216,1196688635
2015-01-22,1920.82,1932.5,1916.56,343132,4597898,1196156121
2015-01-23,1936.09,1945.36,1930.65,367702,4644549,1205486406
2015-01-26,1935.68,1936.4,1924.14,330607,3969674,1204518131
2015-01-27,1952.4,1952.41,1940.72,466962,4619118,1214526540
2015-01-28,1961.58,1963.53,1943.59,400930,5333257,1220210452
2015-01-29,1951.02,1960.12,1946.2,391034,5334660,1214462590
2015-01-30,1949.26,1964.13,1948.6,441477,5889623,1213492316
2015-02-02,1952.68,1956.1,1944.58,364831,4375860,1215563731
2015-02-03,1951.96,1960.35,1940.74,369978,4659076,1214680337
2015-02-04,1962.79,1970.27,1961.57,348032,5028816,1221801023
2015-02-05,1952.84,1962.15,1945.42,395653,4334613,1215349284
2015-02-06,1955.52,1955.52,1945.82,309818,5949733,1217108796
2015-02-09,1947,1952.86,1944.79,310182,4326855,1212134056
2015-02-10,1935.86,1954.2,1935.86,329203,4136832,1205357397
2015-02-11,1945.7,1948.89,1937.95,307454,4227731,1210590445
2015-02-12,1941.63,1947.47,1932.75,334825,4319340,1208275844
2015-02-13,1957.5,1957.5,1946.94,351080,4073754,1218291649
2015-02-16,1958.23,1963.44,1955.39,350944,3690780,1218670142
2015-02-17,1961.45,1962.97,1952.33,304531,3510747,1220463775
2015-02-23,1968.39,1976.96,1966.77,347581,4142518,1224574990
2015-02-24,1976.12,1980.38,1972.61,309544,4262649,1229471283
2015-02-25,1990.47,1992.03,1984.53,369498,5017453,1238838904
2015-02-26,1993.08,1993.43,1983.94,385656,5153504,1240227987
2015-02-27,1985.8,1993.34,1982.5,424548,5675034,1235242829
2015-03-02,1996.81,1999.13,1988.33,373366,5785660,1242157728
2015-03-03,2001.38,2003.05,1995.93,444865,5438365,1245663369
2015-03-04,1998.29,2003.85,1996.5,374540,4724947,1244053793
2015-03-05,1998.38,2002.48,1993.92,373683,4055523,1243683404
2015-03-06,2012.94,2013.73,2003.18,393347,4809475,1253062506
2015-03-09,1992.82,2005.81,1990.87,296747,4048388,1240328478
2015-03-10,1984.77,2003.19,1982.22,433405,4786369,1235314121
2015-03-11,1980.83,1984.6,1969.13,399532,5887014,1233596861
2015-03-12,1970.59,1988.77,1970.59,384041,6400260,1227699040
2015-03-13,1985.79,1991.87,1982.96,326707,4350273,1237140385
2015-03-16,1987.33,1991.79,1982.26,319163,4646946,1237802459
2015-03-17,2029.91,2029.91,1997.27,356554,5386343,1263927338
2015-03-18,2028.45,2036.13,2026.72,362009,5388526,1263191048
2015-03-19,2037.89,2047.13,2031.07,468284,5799017,1269130014
2015-03-20,2037.24,2040,2027.81,351732,5195223,1268219950
2015-03-23,2036.59,2043.92,2032.35,314897,4686340,1267982784
2015-03-24,2041.37,2041.77,2028.54,328834,4664616,1270912537
2015-03-25,2042.81,2046.97,2038.14,423409,5109071,1272663590
2015-03-26,2022.56,2036.7,2019.51,342261,5154957,1260042046
2015-03-27,2019.8,2027.25,2016.88,448964,5110739,1258779522
2015-03-30,2030.04,2033.27,2018.12,439556,4465390,1264850793
2015-03-31,2041.03,2046.9,2032.24,555933,5367292,1272317323
2015-04-01,2028.45,2039.04,2024.64,542801,5386245,1265134363
2015-04-02,2029.07,2040.45,2028.22,655864,6006832,1265451082
2015-04-03,2045.42,2045.94,2031.27,498636,4527546,1275569668
2015-04-06,2046.43,2055.45,2043.26,460493,4769018,1276962029
2015-04-07,2047.03,2059.09,2043.79,436233,4861154,1278076420
2015-04-08,2059.26,2060.19,2046.09,552684,6518068,1286164640
2015-04-09,2058.87,2064.46,2054.17,529862,6045591,1285499571
2015-04-10,2087.76,2089.09,2065.39,658383,6414643,1303644135
2015-04-13,2098.92,2099.97,2088.82,561806,7020313,1310679792
2015-04-14,2111.72,2111.73,2095.97,648846,8051715,1318448528
2015-04-15,2119.96,2122.72,2110.25,451397,7378687,1322955333
2015-04-16,2139.9,2139.9,2125.54,476420,7320104,1335363966
2015-04-17,2143.5,2144.76,2134.1,464627,6344547,1338322786
2015-04-20,2146.71,2146.73,2126.55,509037,7095217,1340100490
2015-04-21,2144.79,2153.84,2140.12,561781,6925599,1338614031
2015-04-22,2143.89,2161.23,2125.88,769387,8537488,1338086372
2015-04-23,2173.41,2174.72,2139.33,521587,8225131,1356487315
2015-04-24,2159.8,2189.54,2154.27,508420,8265327,1346807973
2015-04-27,2157.54,2169.14,2152.09,392339,6196420,1345398327
2015-04-28,2147.67,2164.52,2144.85,415055,6144217,1339024328
2015-04-29,2142.63,2156.24,2126.36,458065,6700508,1336120381
2015-04-30,2127.17,2136.9,2121.29,509130,6171207,1327284545
2015-05-04,2132.23,2139.3,2128.72,355620,4729117,1330971660
2015-05-06,2104.58,2123.22,2095.6,428092,5673933,1313221989
2015-05-07,2091,2099.44,2067.99,423246,5464314,1304188947
2015-05-08,2085.52,2094.06,2082.72,309505,4760652,1300179698
2015-05-11,2097.38,2110.79,2097.38,329704,5040356,1307246124
2015-05-12,2096.77,2101.72,2088.64,391924,5016009,1305255568
2015-05-13,2114.16,2115.36,2100.08,377032,5001954,1315899887
2015-05-14,2120.33,2121.68,2111.72,430833,5117208,1320368108
2015-05-15,2106.5,2134.36,2104.77,491706,6152414,1311860888
2015-05-18,2113.72,2113.72,2099.48,445155,5853343,1316383346
2015-05-19,2120.85,2126.89,2107.62,418480,5758117,1320658615
2015-05-20,2139.54,2140.24,2125.49,452114,6080979,1332753718
2015-05-21,2122.81,2140.6,2121.49,398146,5683597,1322590771
2015-05-22,2146.1,2146.1,2126.88,444585,6084899,1336758600
2015-05-26,2143.5,2148.7,2130.3,381383,6664711,1335922314
2015-05-27,2107.5,2134.95,2103.64,439029,8038776,1313307991
2015-05-28,2110.89,2123.52,2110.89,416116,6847486,1315524158
2015-05-29,2114.8,2123.39,2106.7,456143,7898248,1318606947
2015-06-01,2102.37,2110.88,2086,426928,5897428,1310109641
2015-06-02,2078.64,2107.17,2076.16,520056,7029220,1294288904
2015-06-03,2063.16,2087.95,2059.34,541167,6612354,1285026881
2015-06-04,2072.86,2082.6,2062.75,400364,7425342,1291801430
2015-06-05,2068.1,2075.02,2060.91,394291,6196819,1288676222
2015-06-08,2065.19,2068.51,2056.5,393564,5600602,1285935551
2015-06-09,2064.03,2073.75,2057.21,421881,5606086,1284380957
2015-06-10,2051.32,2080.03,2049.13,427361,6260203,1276549989
2015-06-11,2056.61,2065.07,2051.1,457020,7628903,1279618526
2015-06-12,2052.17,2074.78,2044.87,388258,6152211,1277287528
2015-06-15,2042.32,2049.68,2033.72,313946,4968902,1271122016
2015-06-16,2028.72,2045.77,2008.46,381408,6360420,1262980145
2015-06-17,2034.86,2037.12,2021.5,354723,5112642,1267459896
2015-06-18,2041.88,2052,2036.78,390973,5324239,1271691513
2015-06-19,2046.96,2057.71,2044.71,400329,5649939,1274578489
2015-06-22,2055.16,2068.07,2050.3,266962,4320381,1279769868
2015-06-23,2081.2,2086.09,2066.21,329799,5293354,1296185989
2015-06-24,2085.53,2087.68,2076.78,400754,5340099,1299458967
2015-06-25,2085.06,2088.16,2073.95,575912,5935775,1298501594
2015-06-26,2090.26,2097.01,2080.79,492774,6345469,1301822077
2015-06-29,2060.49,2068.85,2054.33,503807,6207218,1284489136
2015-06-30,2074.2,2075.02,2049.44,392413,5653578,1293129967
2015-07-01,2097.89,2100.34,2072.54,471566,5887524,1307385643
2015-07-02,2107.33,2110.81,2098.76,565339,7123090,1313180646
2015-07-03,2104.41,2109.68,2094.02,419549,5993989,1310771039
2015-07-06,2053.93,2089.86,2052.23,474043,6359280,1279274183
2015-07-07,2040.29,2067.93,2028.98,502809,8282446,1270619129
2015-07-08,2016.21,2046.33,2010.83,453118,7561890,1256567111
2015-07-09,2027.81,2027.81,1983.78,408458,7076332,1263596381
2015-07-10,2031.17,2037.84,2024.76,381307,6694045,1266003543
2015-07-13,2061.52,2063.28,2030.21,426287,6234782,1284730942
2015-07-14,2059.23,2070.44,2052.21,503078,6807343,1282991294
2015-07-15,2072.91,2079.9,2060.66,619129,7571106,1291539233
2015-07-16,2087.89,2088.33,2071.02,697930,7511197,1300883330
